Ensembl.Gene.ID;GFP1;GFP2;GFP3;S1;S2;S3
ENSMUSG00000000037;65;64;94;9;11;11
ENSMUSG00000001123;109;74;77;36;44;38
ENSMUSG00000001497;74;100;89;45;28;35
ENSMUSG00000002006;55;62;43;9;9;18
ENSMUSG00000002109;34;38;41;18;14;20
ENSMUSG00000002249;152;155;154;58;69;65
ENSMUSG00000002803;47;45;59;15;12;15
ENSMUSG00000002831;268;289;322;91;88;82
ENSMUSG00000003032;1870;2154;1878;854;802;760
ENSMUSG00000003341;17;17;21;8;3;2
ENSMUSG00000003411;26;31;33;6;6;7
ENSMUSG00000004113;31;54;52;0;2;1
ENSMUSG00000004151;104;115;120;41;34;34
ENSMUSG00000004347;68;78;101;1;4;4
ENSMUSG00000004552;765;908;891;278;240;247
ENSMUSG00000004633;26;47;58;0;1;0
ENSMUSG00000004791;42;60;58;19;21;12
ENSMUSG00000004885;289;303;254;69;64;72
ENSMUSG00000004961;37;41;36;0;0;1
ENSMUSG00000005583;291;296;316;148;148;139
ENSMUSG00000005836;53;65;60;12;9;14
ENSMUSG00000006717;172;174;190;84;95;84
ENSMUSG00000006958;30;46;29;8;10;5
ENSMUSG00000007039;137;143;159;75;63;49
ENSMUSG00000007379;59;62;71;32;23;26
ENSMUSG00000007653;19;23;26;6;5;5
ENSMUSG00000007655;3536;3773;3556;1789;1611;1573
ENSMUSG00000008305;902;1102;1115;371;337;328
ENSMUSG00000008489;29;41;44;17;15;18
ENSMUSG00000009731;26;19;26;6;4;5
ENSMUSG00000010476;161;176;192;0;0;0
ENSMUSG00000010803;30;21;28;5;4;3
ENSMUSG00000011256;217;272;281;113;121;118
ENSMUSG00000013089;184;200;205;105;75;70
ENSMUSG00000014158;123;170;171;43;40;46
ENSMUSG00000015224;50;43;51;9;11;10
ENSMUSG00000015243;191;230;257;26;22;28
ENSMUSG00000015247;225;246;236;91;91;95
ENSMUSG00000015709;121;127;128;38;28;33
ENSMUSG00000016024;26;9;16;1;0;0
ENSMUSG00000017057;49;63;55;6;6;6
ENSMUSG00000017943;12;10;12;1;2;1
ENSMUSG00000018507;22;19;14;4;3;4
ENSMUSG00000018740;15;16;12;2;2;3
ENSMUSG00000019124;443;498;456;225;223;161
ENSMUSG00000019647;38;39;35;16;14;11
ENSMUSG00000019726;958;1233;1311;603;498;479
ENSMUSG00000019851;386;414;447;200;194;187
ENSMUSG00000019852;64;80;73;0;0;4
ENSMUSG00000019894;318;358;350;91;71;78
ENSMUSG00000019966;737;785;802;288;255;251
ENSMUSG00000020102;8;6;11;0;0;0
ENSMUSG00000020173;29;40;55;7;17;16
ENSMUSG00000020431;16;8;10;1;1;0
ENSMUSG00000020432;32;24;29;9;4;4
ENSMUSG00000020788;38;54;36;15;17;14
ENSMUSG00000020900;153;180;172;32;29;18
ENSMUSG00000020937;664;786;746;398;348;338
ENSMUSG00000020950;69;67;61;7;22;23
ENSMUSG00000021047;68;79;98;7;5;3
ENSMUSG00000021182;146;172;184;51;52;32
ENSMUSG00000021186;88;70;69;8;7;7
ENSMUSG00000021209;22;25;25;6;7;4
ENSMUSG00000021226;274;336;292;111;93;100
ENSMUSG00000021281;1173;1284;1255;620;562;599
ENSMUSG00000021313;10;6;6;0;0;1
ENSMUSG00000021403;36;51;58;14;19;21
ENSMUSG00000021451;17;19;20;5;2;4
ENSMUSG00000021550;89;70;86;28;25;18
ENSMUSG00000021596;33;46;50;15;11;12
ENSMUSG00000021665;372;456;436;209;194;225
ENSMUSG00000021747;37;48;51;16;15;18
ENSMUSG00000021765;42;47;39;11;14;24
ENSMUSG00000021806;29;39;37;7;17;15
ENSMUSG00000021846;180;217;213;99;94;88
ENSMUSG00000022032;601;666;673;119;123;125
ENSMUSG00000022223;6;8;3;0;0;0
ENSMUSG00000022240;19;20;22;1;2;3
ENSMUSG00000022330;5;8;4;0;0;0
ENSMUSG00000022332;154;168;177;32;33;31
ENSMUSG00000022371;41;45;41;7;5;7
ENSMUSG00000022596;40;43;51;0;1;0
ENSMUSG00000022598;76;92;76;9;4;8
ENSMUSG00000022754;40;39;38;7;4;2
ENSMUSG00000022847;8;25;25;2;8;1
ENSMUSG00000022865;341;441;445;113;76;99
ENSMUSG00000023092;344;375;332;9;5;9
ENSMUSG00000023826;38;38;80;22;15;28
ENSMUSG00000023913;70;65;60;13;13;18
ENSMUSG00000024109;20;31;31;1;2;4
ENSMUSG00000024190;290;308;311;168;135;132
ENSMUSG00000024376;247;270;362;156;129;111
ENSMUSG00000024421;24;27;42;4;3;2
ENSMUSG00000024502;6;8;13;0;0;1
ENSMUSG00000024610;38;47;49;13;11;12
ENSMUSG00000024646;757;814;873;201;198;191
ENSMUSG00000024769;33;49;51;20;15;21
ENSMUSG00000025002;14;13;14;5;1;3
ENSMUSG00000025026;830;944;871;451;423;363
ENSMUSG00000025176;48;59;49;29;28;12
ENSMUSG00000025185;1268;1452;1358;599;531;611
ENSMUSG00000025413;484;502;468;228;177;188
ENSMUSG00000025504;102;97;99;30;25;30
ENSMUSG00000025592;16;18;25;9;1;5
ENSMUSG00000025607;405;421;421;226;189;176
ENSMUSG00000025665;73;50;50;14;13;5
ENSMUSG00000025736;115;135;134;44;45;35
ENSMUSG00000025780;30;46;47;1;3;3
ENSMUSG00000025791;336;361;334;139;133;141
ENSMUSG00000026123;85;90;104;38;30;47
ENSMUSG00000026249;294;328;286;34;32;30
ENSMUSG00000026360;72;85;94;16;16;10
ENSMUSG00000026482;760;855;893;391;309;326
ENSMUSG00000026527;15;13;13;1;1;0
ENSMUSG00000026586;823;914;906;146;150;140
ENSMUSG00000026748;133;156;178;75;77;77
ENSMUSG00000026893;22;24;32;9;5;5
ENSMUSG00000026923;82;108;107;45;23;35
ENSMUSG00000027070;19;28;19;6;3;4
ENSMUSG00000027111;94;105;109;15;21;19
ENSMUSG00000027199;20;24;11;4;1;2
ENSMUSG00000027200;9;20;13;2;2;1
ENSMUSG00000027254;1210;1347;1331;415;370;331
ENSMUSG00000027332;183;166;174;83;81;69
ENSMUSG00000027500;38;49;39;4;0;4
ENSMUSG00000027555;330;434;372;173;151;161
ENSMUSG00000027656;706;717;720;185;174;172
ENSMUSG00000027792;109;135;124;7;13;8
ENSMUSG00000027827;168;133;184;79;74;49
ENSMUSG00000027931;29;41;45;11;7;15
ENSMUSG00000027955;235;242;243;29;32;32
ENSMUSG00000027994;48;51;61;14;19;12
ENSMUSG00000028020;91;104;102;48;34;33
ENSMUSG00000028164;17;23;24;5;4;3
ENSMUSG00000028358;70;75;85;3;4;8
ENSMUSG00000028367;3775;4142;3784;1883;1740;1869
ENSMUSG00000028369;15;22;23;0;1;1
ENSMUSG00000028378;225;268;267;81;69;70
ENSMUSG00000028383;190;171;169;67;71;70
ENSMUSG00000028391;82;78;88;43;32;37
ENSMUSG00000028393;787;888;833;342;347;327
ENSMUSG00000028394;656;645;670;322;327;297
ENSMUSG00000028397;559;653;716;374;299;282
ENSMUSG00000028398;240;297;244;137;90;102
ENSMUSG00000028399;167;205;218;3;4;3
ENSMUSG00000028402;2104;2381;2449;1043;913;927
ENSMUSG00000028414;639;653;697;293;249;255
ENSMUSG00000028426;5753;6144;5805;3045;2892;2771
ENSMUSG00000028434;116;112;129;7;7;6
ENSMUSG00000028484;2511;2581;2579;1311;1235;1157
ENSMUSG00000028495;7929;8256;7519;3084;2871;2768
ENSMUSG00000028496;1519;1698;2047;945;794;825
ENSMUSG00000028514;3277;3697;3866;1531;1335;1285
ENSMUSG00000028518;151;155;176;42;25;50
ENSMUSG00000028519;5;3;11;0;0;0
ENSMUSG00000028521;428;476;468;245;192;198
ENSMUSG00000028522;1321;1407;1514;638;543;513
ENSMUSG00000028527;765;858;750;306;291;281
ENSMUSG00000028530;2306;2617;2479;1139;1028;995
ENSMUSG00000028549;47;56;53;14;26;8
ENSMUSG00000028550;255;257;294;106;113;113
ENSMUSG00000028560;2290;2313;2249;895;813;797
ENSMUSG00000028576;910;904;960;320;264;282
ENSMUSG00000028577;2609;2710;2684;1118;988;1064
ENSMUSG00000028587;605;631;710;148;134;125
ENSMUSG00000028600;39;39;53;13;7;14
ENSMUSG00000028601;284;294;304;135;93;92
ENSMUSG00000028603;80;96;74;29;25;28
ENSMUSG00000028607;308;390;308;119;156;132
ENSMUSG00000028608;349;382;402;182;175;169
ENSMUSG00000028609;582;621;533;287;286;264
ENSMUSG00000028614;1612;1891;1792;862;778;784
ENSMUSG00000028617;538;600;568;256;230;220
ENSMUSG00000028619;316;319;304;140;119;111
ENSMUSG00000028621;115;157;152;71;68;63
ENSMUSG00000028622;622;638;636;316;300;256
ENSMUSG00000028776;740;832;755;425;349;360
ENSMUSG00000028780;122;149;132;75;50;43
